sentence,question,question_type,length,gender_match,correct_answer,verb,label
The tourist hired the guides that the locals angered due to a misunderstanding,"Therefore, the locals angered the <MASK>",filler-Q,short,mismatch,true,anger,guides
The tourists hired the guides that the locals angered due to a misunderstanding,"Therefore, the locals angered the <MASK>",distractor-Q,short,match,true,anger,guides
The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding,"Therefore, the locals angered the <MASK>",filler-Q,long,mismatch,true,anger,guides
The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding,"Therefore, the locals angered the <MASK>",distractor-Q,long,match,true,anger,guides
The coach removed the gymnasts that the fans disrespected because of the recent losses,"Therefore, the fans disrespected the <MASK>",filler-Q,short,mismatch,true,disrespect,gymnasts
The coaches removed the gymnasts that the fans disrespected because of the recent losses,"Therefore, the fans disrespected the <MASK>",distractor-Q,short,match,true,disrespect,gymnasts
The coach removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses,"Therefore, the fans disrespected the <MASK>",filler-Q,long,mismatch,true,disrespect,gymnasts
The coaches removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses,"Therefore, the fans disrespected the <MASK>",distractor-Q,long,match,true,disrespect,gymnasts
The agent discovered the producers that the musicians excited following the success of the album,"Therefore, the musicians excited the <MASK>",filler-Q,short,mismatch,true,excite,producers
The agents discovered the producers that the musicians excited following the success of the album,"Therefore, the musicians excited the <MASK>",distractor-Q,short,match,true,excite,producers
The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,"Therefore, the musicians excited the <MASK>",filler-Q,long,mismatch,true,excite,producers
The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,"Therefore, the musicians excited the <MASK>",distractor-Q,long,match,true,excite,producers
The policeman hid the suspects that the criminals threatened after the publicized arrest,"Therefore, the criminals threatened the <MASK>",filler-Q,short,mismatch,true,threaten,suspects
The policemen hid the suspects that the criminals threatened after the publicized arrest,"Therefore, the criminals threatened the <MASK>",distractor-Q,short,match,true,threaten,suspects
The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,"Therefore, the criminals threatened the <MASK>",filler-Q,long,mismatch,true,threaten,suspects
The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,"Therefore, the criminals threatened the <MASK>",distractor-Q,long,match,true,threaten,suspects
The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position,"Therefore, the prisoners abused the <MASK>",filler-Q,short,mismatch,true,abuse,wardens
