Set,Dependency,animcay,מין דקדוקי,Distractor,זה,NP,ש,היה,adv,PP,של,distractor,PP2,verb,so1,so2,so2,full sentence,תשובה 1,תשובה 2
1,S-V,animate,נקבה,Match,,השחקנית,ש,הייתה,השבוע,בסטודיו,של,הבמאית,הצרפתיה,פגעה,באגרטל,היקר,בכניסה,השחקנית שהייתה השבוע בסטודיו של הבמאית הצרפתיה פגעה באגרטל היקר בכניסה,השחקנית פגעה באגרטל,הבמאית פגעה באגרטל
1,S-V,inanimate,נקבה,Mismatch,,המצלמה,ש,הייתה,השבוע,בסטודיו,של,הבמאית,הצרפתיה,פגעה,באגרטל,היקר,בכניסה,המצלמה שהייתה השבוע בסטודיו של הבמאית הצרפתיה פגעה באגרטל היקר בכניסה,המצלמה פגעה באגרטל,הבמאית פגעה באגרטל
1,F-G,animate,נקבה,Match,זו,השחקנית,ש,,השבוע,בסטודיו,של,הבמאית,הצרפתיה,פגעה,באגרטל,היקר,בכניסה,זו השחקנית שהשבוע בסטודיו של הבמאית הצרפתיה פגעה באגרטל היקר בכניסה,השחקנית פגעה באגרטל,הבמאית פגעה באגרטל
1,F-G,inanimate,נקבה,Mismatch,זו,המצלמה,ש,,השבוע,בסטודיו,של,הבמאית,הצרפתיה,פגעה,באגרטל,היקר,בכניסה,זו המצלמה שהשבוע בסטודיו של הבמאית הצרפתיה פגעה באגרטל היקר בכניסה,המצלמה פגעה באגרטל,הבמאית פגעה באגרטל
2,S-V,animate,נקבה,Match,,הסטודנטית,ש,הייתה,אתמול,בשיעור,של,המתרגלת,העצלנית,שעממה,את,חברי,הקורס,הסטודנטית שהייתה אתמול בשיעור של המתרגלת העצלנית שעממה את חברי הקורס,הסטודנטית שעממה את הכיתה,המתרגלת שעממה את הכיתה
2,S-V,inanimate,נקבה,Mismatch,,המטלה,ש,הייתה,אתמול,בשיעור,של,המתרגלת,העצלנית,שעממה,את,חברי,הקורס,המטלה שהייתה אתמול בשיעור של המתרגלת העצלנית שעממה את חברי הקורס,המטלה שעממה את הכיתה,המתרגלת שעממה את הכיתה
2,F-G,animate,נקבה,Match,זו,הסטודנטית,ש,,אתמול,בשיעור,של,המתרגלת,העצלנית,שעממה,את,חברי,הקורס,זו הסטודנטית שאתמול בשיעור של המתרגלת העצלנית שעממה את חברי הקורס,הסטודנטית שעממה את הכיתה,המתרגלת שעממה את הכיתה
2,F-G,inanimate,נקבה,Mismatch,זו,המטלה,ש,,אתמול,בשיעור,של,המתרגלת,העצלנית,שעממה,את,חברי,הקורס,זו המטלה שאתמול בשיעור של המתרגלת העצלנית שעממה את חברי הקורס,המטלה שעממה את הכיתה,המתרגלת שעממה את הכיתה
3,S-V,animate,נקבה,Match,,התינוקת,ש,הייתה,היום,בצהרון,של,הגננת,הצעירה,התגלגלה,על,רחבת,הדשא,התינוקת שהייתה היום בצהרון של הגננת הצעירה התגלגלה על רחבת הדשא,התינוקת התגלגלה על רחבת הדשא,הגננת התגלגלה על רחבת הדשא
3,S-V,inanimate,נקבה,Mismatch,,העגלה,ש,הייתה,היום,בצהרון,של,הגננת,הצעירה,התגלגלה,על,רחבת,הדשא,העגלה שהייתה היום בצהרון של הגננת הצעירה התגלגלה על רחבת הדשא,העגלה התגלגלה על רחבת הדשא,הגננת התגלגלה על רחבת הדשא
