prompt,label1,label2,distractor1,distractor2,length,plural_match
"The tourist hired the guides that the locals angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourist,tourist,short,mismatch
"The tourists hired the guides that the locals angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourists,tourists,short,match
"The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourist,tourist,long,mismatch
"The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,guides,tourists,tourists,long,match
"The coach removed the gymnasts that the fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coach,coach,short,mismatch
"The coaches removed the gymnasts that the fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coaches,coaches,short,match
"The coach removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coach,coach,long,mismatch
"The coaches removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,gymnasts,coaches,coaches,long,match
"The agent discovered the producers that the musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agent,agent,short,mismatch
"The agents discovered the producers that the musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agents,agents,short,match
"The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agent,agent,long,mismatch
"The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,producers,agents,agents,long,match
"The policeman hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policeman,policeman,short,mismatch
"The policemen hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policemen,policemen,short,match
"The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policeman,policeman,long,mismatch
"The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,suspects,policemen,policemen,long,match
"The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspector,inspector,short,mismatch
"The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspectors,inspectors,short,match
"The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspector,inspector,long,mismatch
"The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,wardens,inspectors,inspectors,long,match
"The singer met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singer,singer,short,mismatch
"The singers met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singers,singers,short,match
"The singer met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singer,singer,long,mismatch
"The singers met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, the fans cared for the [MASK]",stars,stars,singers,singers,long,match
"The medic interrogated the doctors that the injured people needed following the car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medic,medic,short,mismatch
"The medics interrogated the doctors that the injured people needed following the car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medics,medics,short,match
"The medic interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medic,medic,long,mismatch
"The medics interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the wounded needed the [MASK]",doctors,doctors,medics,medics,long,match
"The teacher failed the girls that the students ignored since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teacher,teacher,short,mismatch
"The teachers failed the girls that the students ignored since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teachers,teachers,short,match
"The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teacher,teacher,long,mismatch
"The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the students ignored the [MASK]",girls,girls,teachers,teachers,long,match
"The president summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,president,president,short,mismatch
"The presidents summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,presidents,presidents,short,match
"The president summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,president,president,long,mismatch
"The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid the [MASK]",consultants,consultants,presidents,presidents,long,match
"The director sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,director,director,short,mismatch
"The directors sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,directors,directors,short,match
"The director sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,director,director,long,mismatch
"The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the extras watched the [MASK]",actresses,actresses,directors,directors,long,match
"The detective located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detective,detective,short,mismatch
"The detectives located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detectives,detectives,short,match
"The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detective,detective,long,mismatch
"The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the assistants helped the [MASK]",smugglers,smugglers,detectives,detectives,long,match
"The manager knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,manager,manager,short,mismatch
"The managers knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,managers,managers,short,match
"The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,manager,manager,long,mismatch
"The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift. Therefore, the customers heard the [MASK]",cashiers,cashiers,managers,managers,long,match
"The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassador,ambassador,short,mismatch
"The ambassadors appreciated the interpreters that the representatives supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassadors,ambassadors,short,match
"The ambassador appreciated the interpreters that last week the moderate representatives at the conference supported despite the expected difficulties. Therefore, the representatives supported the [MASK]",interpreters,interpreters,ambassador,ambassador,long,mismatch
