prompt,label,distractor,length,plural_match
"The tourist hired the guides that the locals angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,tourist,short,mismatch
"The tourists hired the guides that the locals angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,tourists,short,match
"The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,tourist,long,mismatch
"The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding. Therefore, the locals angered the [MASK]",guides,tourists,long,match
"The coach removed the gymnasts that the fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,coach,short,mismatch
"The coaches removed the gymnasts that the fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,coaches,short,match
"The coach removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,coach,long,mismatch
"The coaches removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses. Therefore, the fans disrespected the [MASK]",gymnasts,coaches,long,match
"The agent discovered the producers that the musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,agent,short,mismatch
"The agents discovered the producers that the musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,agents,short,match
"The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,agent,long,mismatch
"The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album. Therefore, the musicians excited the [MASK]",producers,agents,long,match
"The policeman hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,policeman,short,mismatch
"The policemen hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,policemen,short,match
"The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,policeman,long,mismatch
"The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals threatened the [MASK]",suspects,policemen,long,match
"The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,inspector,short,mismatch
"The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,inspectors,short,match
"The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,inspector,long,mismatch
"The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK]",wardens,inspectors,long,match
"The singer met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK]",stars,singer,short,mismatch
"The singers met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK]",stars,singers,short,match
"The singer met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, the fans cared for the [MASK]",stars,singer,long,mismatch
"The singers met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, the fans cared for the [MASK]",stars,singers,long,match
"The medic interrogated the doctors that the injured people needed following the car accident. Therefore, the wounded needed the [MASK]",doctors,medic,short,mismatch
"The medics interrogated the doctors that the injured people needed following the car accident. Therefore, the wounded needed the [MASK]",doctors,medics,short,match
"The medic interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the wounded needed the [MASK]",doctors,medic,long,mismatch
"The medics interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the wounded needed the [MASK]",doctors,medics,long,match
