prompt,label1,label2,distractor1,distractor2,dependency,animacy,match
The actress who was in the French director's studio this week hit the expensive vase at the entrance. The [MASK] hit the vase.,actress,actress,director,director,S-V,animate,True
The camera that was in the French director's studio this week hit the expensive vase at the entrance. The [MASK] hit the vase.,camera,camera,director,director,S-V,inanimate,False
This is the actress who this week in the French director's studio hit the expensive vase at the entrance. The [MASK] hit the vase.,actress,actress,director,director,F-G,animate,True
This is the camera that this week in the French director's studio hit the expensive vase at the entrance. The [MASK] hit the vase.,camera,camera,director,director,F-G,inanimate,False
The student who was yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,student,student,practitioner,practitioner,S-V,animate,True
The assignment that was yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,assignment,assignment,practitioner,practitioner,S-V,inanimate,False
This is the student who yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,student,student,practitioner,practitioner,F-G,animate,True
This is the assignment that yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,assignment,assignment,practitioner,practitioner,F-G,inanimate,False
The baby who was in the young kindergartener's daycare today rolled around on the lawn. The [MASK] rolled on the lawn.,baby,baby,kindergarten,teacher,S-V,animate,True
The cart that was in the young kindergartener's daycare today rolled over on the lawn. The [MASK] rolled on the lawn.,cart,cart,kindergarten,teacher,S-V,inanimate,False
This is the baby who today in the young kindergartener's daycare rolled on the lawn. The [MASK] rolled on the lawn.,baby,baby,kindergarten,teacher,F-G,animate,True
This is the cart that today in the young kindergartener's daycare rolled on the lawn. The [MASK] rolled on the lawn.,cart,cart,kindergarten,teacher,F-G,inanimate,False
The saleswoman who was in the talented goldsmith's shop today excited the spendthrift customer. The [MASK] excited the customer.,saleswoman,saleswoman,goldsmith,goldsmith,S-V,animate,True
The chain that was in the talented goldsmith's shop today excited the spendthrift customer. The [MASK] excited the customer.,chain,chain,goldsmith,goldsmith,S-V,inanimate,False
This is the saleswoman who today in the talented goldsmith's shop excited the spendthrift customer. The [MASK] excited the customer.,saleswoman,saleswoman,goldsmith,goldsmith,F-G,animate,True
This is the chain that today in the talented goldsmith's shop excited the spendthrift customer. The [MASK] excited the customer.,chain,chain,goldsmith,goldsmith,F-G,inanimate,False
The girl who was at the red-haired comedian's wedding this week amazed all the guests. The [MASK] amazed the guests.,girl,girl,comedian,comedian,S-V,animate,True
The cake that was at the red-haired comedian's wedding this week amazed all the guests. The [MASK] amazed the guests.,cake,cake,comedian,comedian,S-V,inanimate,False
This is the girl who this week at the red-haired comedian's wedding amazed all the guests. The [MASK] amazed the guests.,girl,girl,comedian,comedian,F-G,animate,True
This is the cake that this week at the red-haired comedian's wedding amazed all the guests. The [MASK] amazed the guests.,cake,cake,comedian,comedian,F-G,inanimate,False
The nanny who was at the elderly grandmother's house this morning made her curly granddaughter sad. The [MASK] made her granddaughter sad.,nanny,nanny,grandmother,grandmother,S-V,animate,True
The souvenir that was in the elderly grandmother's house this morning made the curly granddaughter sad. The [MASK] saddened the granddaughter.,souvenir,souvenir,grandmother,grandmother,S-V,inanimate,False
This is the nanny who this morning at the elderly grandmother's house saddened her curly granddaughter. The [MASK] made her granddaughter sad.,nanny,nanny,grandmother,grandmother,F-G,animate,True
