prompt,label,distractor,condition_sentence,condition_distractor,condition_question,distractor_value,subject_value,question_center
"The banker that the barber praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,barber,subject_extracted,definite_description,matrix_verb,The barber,The banker,subject
"The banker that you praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,you,subject_extracted,indexical_pronoun,matrix_verb,You,The banker,subject
"The banker that Sue praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,Sue,subject_extracted,name,matrix_verb,Sue,The banker,subject
"The banker that the barber praised climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised the banker.",barber,banker,subject_extracted,definite_description,embedded_verb,The barber,The banker,distractor
"The banker that you praised climbed the mountain just outside of town before it snowed. Therefore, [MASK] praised the banker.",you,banker,subject_extracted,indexical_pronoun,embedded_verb,You,The banker,distractor
"The banker that Sue praised climbed the mountain just outside of town before it snowed. Therefore, [MASK] praised the banker.",Sue,banker,subject_extracted,name,embedded_verb,Sue,The banker,distractor
"The banker that praised the barber climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,barber,object_extracted,definite_description,matrix_verb,The barber,The banker,subject
"The banker that praised you climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,you,object_extracted,indexical_pronoun,matrix_verb,You,The banker,subject
"The banker that praised Sue climbed the mountain just outside of town before it snowed. Therefore, the [MASK] climbed the mountain.",banker,Sue,object_extracted,name,matrix_verb,Sue,The banker,subject
"The banker that praised the barber climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised the barber.",banker,barber,object_extracted,definite_description,embedded_verb,The barber,The banker,subject
"The banker that praised you climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised you.",banker,you,object_extracted,indexical_pronoun,embedded_verb,You,The banker,subject
"The banker that praised Sue climbed the mountain just outside of town before it snowed. Therefore, the [MASK] praised Sue.",banker,Sue,object_extracted,name,embedded_verb,Sue,The banker,subject
"The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,reporter,subject_extracted,definite_description,matrix_verb,The reporter,The dancer,subject
"The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,you,subject_extracted,indexical_pronoun,matrix_verb,You,The dancer,subject
"The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve. Therefore, the [MASK] cooked the pork chops.",dancer,Ann,subject_extracted,name,matrix_verb,Ann,The dancer,subject
