,prompt,label1,label2,distractor1,distractor2,dependency,animacy,match,predicted_token0k,label_prob0k,distractor_prob0k,diff_prob0k,top_prob0k,correct0k,predicted_token20k,label_prob20k,distractor_prob20k,diff_prob20k,top_prob20k,correct20k,predicted_token40k,label_prob40k,distractor_prob40k,diff_prob40k,top_prob40k,correct40k,predicted_token60k,label_prob60k,distractor_prob60k,diff_prob60k,top_prob60k,correct60k,predicted_token80k,label_prob80k,distractor_prob80k,diff_prob80k,top_prob80k,correct80k,predicted_token100k,label_prob100k,distractor_prob100k,diff_prob100k,top_prob100k,correct100k,predicted_token120k,label_prob120k,distractor_prob120k,diff_prob120k,top_prob120k,correct120k,predicted_token140k,label_prob140k,distractor_prob140k,diff_prob140k,top_prob140k,correct140k,predicted_token160k,label_prob160k,distractor_prob160k,diff_prob160k,top_prob160k,correct160k,predicted_token180k,label_prob180k,distractor_prob180k,diff_prob180k,top_prob180k,correct180k,predicted_token200k,label_prob200k,distractor_prob200k,diff_prob200k,top_prob200k,correct200k,predicted_token300k,label_prob300k,distractor_prob300k,diff_prob300k,top_prob300k,correct300k,predicted_token400k,label_prob400k,distractor_prob400k,diff_prob400k,top_prob400k,correct400k,predicted_token500k,label_prob500k,distractor_prob500k,diff_prob500k,top_prob500k,correct500k,predicted_token600k,label_prob600k,distractor_prob600k,diff_prob600k,top_prob600k,correct600k,predicted_token700k,label_prob700k,distractor_prob700k,diff_prob700k,top_prob700k,correct700k,predicted_token800k,label_prob800k,distractor_prob800k,diff_prob800k,top_prob800k,correct800k,predicted_token900k,label_prob900k,distractor_prob900k,diff_prob900k,top_prob900k,correct900k,predicted_token1000k,label_prob1000k,distractor_prob1000k,diff_prob1000k,top_prob1000k,correct1000k,predicted_token1100k,label_prob1100k,distractor_prob1100k,diff_prob1100k,top_prob1100k,correct1100k,predicted_token1200k,label_prob1200k,distractor_prob1200k,diff_prob1200k,top_prob1200k,correct1200k,predicted_token1300k,label_prob1300k,distractor_prob1300k,diff_prob1300k,top_prob1300k,correct1300k,predicted_token1400k,label_prob1400k,distractor_prob1400k,diff_prob1400k,top_prob1400k,correct1400k,predicted_token1500k,label_prob1500k,distractor_prob1500k,diff_prob1500k,top_prob1500k,correct1500k,predicted_token1600k,label_prob1600k,distractor_prob1600k,diff_prob1600k,top_prob1600k,correct1600k,predicted_token1700k,label_prob1700k,distractor_prob1700k,diff_prob1700k,top_prob1700k,correct1700k,predicted_token1800k,label_prob1800k,distractor_prob1800k,diff_prob1800k,top_prob1800k,correct1800k,predicted_token1900k,label_prob1900k,distractor_prob1900k,diff_prob1900k,top_prob1900k,correct1900k,predicted_token2000k,label_prob2000k,distractor_prob2000k,diff_prob2000k,top_prob2000k,correct2000k
0,The actress who was in the French director's studio this week hit the expensive vase at the entrance. The [MASK] hit the vase.,actress,actress,director,director,S-V,animate,True,director,0.3893388509750366,0.6106611490249634,-0.22132229804992676,disciplines,False,actress,0.8142356872558594,0.1857643723487854,0.628471314907074,two,True,actress,0.9765055179595947,0.023494616150856018,0.9530109018087387,actress,True,actress,0.9822958111763,0.01770406775176525,0.9645917434245348,film,True,actress,0.9675861597061157,0.032413892447948456,0.9351722672581673,actress,True,actress,0.9936408400535583,0.006359078921377659,0.9872817611321807,actress,True,actress,0.9901918172836304,0.0098081910982728,0.9803836261853576,actress,True,actress,0.9866926074028015,0.01330736093223095,0.9733852464705706,actress,True,actress,0.9813829064369202,0.018617140129208565,0.9627657663077116,actress,True,actress,0.9928590059280396,0.0071410927921533585,0.9857179131358862,film,True,actress,0.9688462615013123,0.031153835356235504,0.9376924261450768,actress,True,actress,0.9899987578392029,0.010001159273087978,0.9799975985661149,actress,True,actress,0.9498239755630493,0.05017610639333725,0.8996478691697121,actress,True,actress,0.7436413764953613,0.25635865330696106,0.48728272318840027,actor,True,actress,0.8586611747741699,0.14133873581886292,0.717322438955307,camera,True,actress,0.9490586519241333,0.05094122886657715,0.8981174230575562,vase,True,actress,0.716103732585907,0.28389623761177063,0.43220749497413635,actress,True,actress,0.604454517364502,0.39554542303085327,0.20890909433364868,actress,True,actress,0.6569527983665466,0.34304723143577576,0.3139055669307709,actress,True,actress,0.7410048842430115,0.2589951157569885,0.48200976848602295,actress,True,director,0.34122246503829956,0.6587775349617004,-0.3175550699234009,director,False,director,0.34425288438796997,0.65574711561203,-0.31149423122406006,director,False,director,0.4829536974430084,0.5170462727546692,-0.03409257531166077,director,False,actress,0.6060128211975098,0.39398708939552307,0.2120257318019867,actress,True,actress,0.5592594742774963,0.4407404959201813,0.11851897835731506,actress,True,actress,0.7034735083580017,0.2965265214443207,0.40694698691368103,actress,True,actress,0.6789816617965698,0.3210183382034302,0.35796332359313965,actress,True,actress,0.7065304517745972,0.29346951842308044,0.4130609333515167,actress,True,actress,0.7043185234069824,0.29568156599998474,0.4086369574069977,actress,True
1,The camera that was in the French director's studio this week hit the expensive vase at the entrance. The [MASK] hit the vase.,camera,camera,director,director,S-V,inanimate,False,camera,0.6057624220848083,0.39423760771751404,0.2115248143672943,disciplines,True,camera,0.7781603932380676,0.22183966636657715,0.5563207268714905,two,True,camera,0.9893693923950195,0.010630662553012371,0.9787387298420072,camera,True,camera,0.9907903671264648,0.009209657087922096,0.9815807100385427,camera,True,camera,0.9973648190498352,0.0026352624408900738,0.9947295566089451,camera,True,camera,0.9994117021560669,0.0005882761906832457,0.9988234259653836,camera,True,camera,0.9966320395469666,0.003368056146427989,0.9932639834005386,camera,True,camera,0.9979673027992249,0.0020325861405581236,0.9959347166586667,camera,True,camera,0.9958277344703674,0.004172167275100946,0.9916555671952665,camera,True,camera,0.9987037181854248,0.0012961751781404018,0.9974075430072844,camera,True,camera,0.9988711476325989,0.0011287200031802058,0.9977424276294187,camera,True,camera,0.9997132420539856,0.0002866711583919823,0.9994265708955936,camera,True,camera,0.9973586201667786,0.002641434548422694,0.9947171856183559,camera,True,camera,0.9972879886627197,0.002712017623707652,0.9945759710390121,camera,True,camera,0.9990631937980652,0.0009368620230816305,0.9981263317749836,camera,True,camera,0.997400164604187,0.0025997417978942394,0.9948004228062928,camera,True,camera,0.9972689747810364,0.0027310033328831196,0.9945379714481533,camera,True,camera,0.9911963939666748,0.008803708478808403,0.9823926854878664,camera,True,camera,0.9896686673164368,0.010331370867788792,0.979337296448648,camera,True,camera,0.9943041205406189,0.005695917643606663,0.9886082028970122,camera,True,camera,0.9809594750404358,0.019040439277887344,0.9619190357625484,camera,True,camera,0.990344226360321,0.00965579692274332,0.9806884294375777,camera,True,camera,0.9964516162872314,0.003548315027728677,0.9929033012595028,camera,True,camera,0.9916404485702515,0.008359568193554878,0.9832808803766966,camera,True,camera,0.9956731200218201,0.00432684225961566,0.9913462777622044,camera,True,camera,0.9943704009056091,0.0056296540424227715,0.9887407468631864,camera,True,camera,0.9922562837600708,0.007743759546428919,0.9845125242136419,camera,True,camera,0.9959499835968018,0.0040500583127141,0.9918999252840877,camera,True,camera,0.9952540397644043,0.004745970014482737,0.9905080697499216,camera,True
2,This is the actress who this week in the French director's studio hit the expensive vase at the entrance. The [MASK] hit the vase.,actress,actress,director,director,F-G,animate,True,actress,0.5517668128013611,0.4482332170009613,0.10353359580039978,transform,True,actress,0.7147019505500793,0.28529807925224304,0.4294038712978363,film,True,actress,0.9734985828399658,0.026501312851905823,0.94699726998806,film,True,actress,0.9580378532409668,0.04196208342909813,0.9160757698118687,film,True,actress,0.9279657602310181,0.07203426957130432,0.8559314906597137,actress,True,actress,0.9848456382751465,0.015154322609305382,0.9696913156658411,actress,True,actress,0.9622710943222046,0.03772883489727974,0.9245422594249249,actress,True,actress,0.9415865540504456,0.05841335654258728,0.8831731975078583,actress,True,actress,0.9504841566085815,0.04951588064432144,0.9009682759642601,actress,True,actress,0.983345091342926,0.016655011102557182,0.9666900802403688,film,True,actress,0.8151822090148926,0.18481780588626862,0.630364403128624,actress,True,actress,0.9820212125778198,0.017978662624955177,0.9640425499528646,actress,True,actress,0.9076501727104187,0.09234988689422607,0.8153002858161926,actress,True,actress,0.8133601546287537,0.18663989007472992,0.6267202645540237,actress,True,actress,0.8516453504562378,0.1483546793460846,0.7032906711101532,actress,True,actress,0.9453729391098022,0.05462704971432686,0.8907458893954754,vase,True,actress,0.5800452828407288,0.41995468735694885,0.1600905954837799,actress,True,actress,0.6771115660667419,0.32288849353790283,0.3542230725288391,actress,True,actress,0.7621614336967468,0.23783862590789795,0.5243228077888489,actress,True,actress,0.7008846402168274,0.299115389585495,0.4017692506313324,actress,True,director,0.40133121609687805,0.5986687541007996,-0.1973375380039215,director,False,director,0.4405350685119629,0.5594649314880371,-0.11892986297607422,director,False,actress,0.5906367301940918,0.4093632996082306,0.1812734305858612,actress,True,actress,0.7868303656578064,0.2131696343421936,0.5736607313156128,actress,True,actress,0.7765220999717712,0.22347791492938995,0.5530441850423813,actress,True,actress,0.8005093336105347,0.19949069619178772,0.601018637418747,actress,True,actress,0.8197022080421448,0.1802978515625,0.6394043564796448,actress,True,actress,0.7660959362983704,0.23390398919582367,0.5321919471025467,actress,True,actress,0.7946003079414368,0.20539969205856323,0.5892006158828735,actress,True
3,This is the camera that this week in the French director's studio hit the expensive vase at the entrance. The [MASK] hit the vase.,camera,camera,director,director,F-G,inanimate,False,camera,0.6617032289505005,0.3382967412471771,0.32340648770332336,transform,True,camera,0.6597393155097961,0.34026071429252625,0.3194786012172699,two,True,camera,0.984588086605072,0.015411950647830963,0.9691761359572411,camera,True,camera,0.9749062061309814,0.025093765929341316,0.9498124402016401,camera,True,camera,0.9963358640670776,0.003664145478978753,0.9926717185880989,camera,True,camera,0.9958263039588928,0.004173567984253168,0.9916527359746397,camera,True,camera,0.9899137020111084,0.0100862430408597,0.9798274589702487,camera,True,camera,0.9902516603469849,0.0097483079880476,0.9805033523589373,camera,True,camera,0.972740650177002,0.027259312570095062,0.9454813376069069,camera,True,camera,0.9941467046737671,0.005853222217410803,0.9882934824563563,camera,True,camera,0.9811760783195496,0.01882397010922432,0.9623521082103252,camera,True,camera,0.9972713589668274,0.0027285872492939234,0.9945427717175335,camera,True,camera,0.938137948513031,0.061862096190452576,0.8762758523225784,camera,True,camera,0.9872409701347351,0.012759093195199966,0.9744818769395351,camera,True,camera,0.9712823033332825,0.028717702254652977,0.9425646010786295,camera,True,camera,0.9919314980506897,0.008068415336310863,0.9838630827143788,camera,True,camera,0.931787371635437,0.06821254640817642,0.8635748252272606,camera,True,camera,0.9256807565689087,0.07431913167238235,0.8513616248965263,camera,True,camera,0.7803581357002258,0.21964186429977417,0.5607162714004517,camera,True,camera,0.9532392024993896,0.04676087200641632,0.9064783304929733,camera,True,camera,0.5587183237075806,0.4412817656993866,0.11743655800819397,camera,True,camera,0.6095098257064819,0.3904901146888733,0.21901971101760864,camera,True,director,0.4865700304508209,0.5134299993515015,-0.026859968900680542,director,False,camera,0.6114846467971802,0.3885154128074646,0.22296923398971558,camera,True,camera,0.8953173756599426,0.10468273609876633,0.7906346395611763,camera,True,camera,0.6840214729309082,0.3159785568714142,0.368042916059494,camera,True,camera,0.6873041987419128,0.31269580125808716,0.3746083974838257,camera,True,camera,0.7516758441925049,0.24832405149936676,0.5033517926931381,camera,True,camera,0.7103322744369507,0.2896677255630493,0.42066454887390137,camera,True
4,The student who was yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,student,student,practitioner,practitioner,S-V,animate,True,student,0.7698715329170227,0.23012839257717133,0.5397431403398514,##eral,True,student,0.9915727376937866,0.008427250199019909,0.9831454874947667,students,True,student,0.7808180451393127,0.21918191015720367,0.5616361349821091,student,True,student,0.9037251472473145,0.0962749645113945,0.80745018273592,student,True,student,0.9843364953994751,0.015663493424654007,0.9686730019748211,students,True,student,0.8905656337738037,0.10943447053432465,0.7811311632394791,teacher,True,student,0.9193801283836365,0.08061981946229935,0.8387603089213371,teacher,True,student,0.8700229525566101,0.12997712194919586,0.7400458306074142,student,True,student,0.9334270358085632,0.06657285243272781,0.8668541833758354,student,True,student,0.9996137022972107,0.0003863896708935499,0.9992273126263171,students,True,student,0.9983533620834351,0.00164655817206949,0.9967068039113656,student,True,student,0.9970170259475708,0.0029828797560185194,0.9940341461915523,students,True,student,0.9957371950149536,0.004262898117303848,0.9914742968976498,student,True,student,0.6861226558685303,0.3138774037361145,0.37224525213241577,student,True,student,0.9997342228889465,0.0002658135781530291,0.9994684093107935,students,True,student,0.9618591070175171,0.03814087063074112,0.923718236386776,student,True,student,0.9894356727600098,0.010564225725829601,0.9788714470341802,student,True,student,0.998977541923523,0.0010224651778116822,0.9979550767457113,students,True,student,0.9993047714233398,0.0006952874828130007,0.9986094839405268,student,True,student,0.8519588112831116,0.14804118871688843,0.7039176225662231,student,True,student,0.8701674938201904,0.1298324465751648,0.7403350472450256,student,True,student,0.9905390739440918,0.009460879489779472,0.9810781944543123,students,True,student,0.7969353199005127,0.2030646651983261,0.5938706547021866,student,True,student,0.9886914491653442,0.011308468878269196,0.977382980287075,student,True,student,0.6198104619979858,0.38018953800201416,0.23962092399597168,student,True,student,0.9042293429374695,0.0957707017660141,0.8084586411714554,student,True,student,0.8879483342170715,0.11205162107944489,0.7758967131376266,student,True,student,0.8314123153686523,0.16858769953250885,0.6628246158361435,student,True,student,0.8891642093658447,0.11083586513996124,0.7783283442258835,student,True
5,The assignment that was yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,assignment,assignment,practitioner,practitioner,S-V,inanimate,False,assignment,0.6081281900405884,0.39187172055244446,0.21625646948814392,##eral,True,assignment,0.620983898639679,0.3790161907672882,0.24196770787239075,officers,True,practitioner,0.07180030643939972,0.9281996488571167,-0.856399342417717,practitioner,False,practitioner,0.24765321612358093,0.7523468136787415,-0.5046935975551605,course,False,practitioner,0.4422832429409027,0.5577167272567749,-0.11543348431587219,instructor,False,practitioner,0.034189291298389435,0.9658107161521912,-0.9316214248538017,teacher,False,practitioner,0.20505639910697937,0.7949436902999878,-0.5898872911930084,instructor,False,practitioner,0.006424080580472946,0.9935758709907532,-0.9871517904102802,instructor,False,practitioner,0.0020510307513177395,0.9979490637779236,-0.9958980330266058,instructor,False,assignment,0.7643219828605652,0.23567800223827362,0.5286439806222916,students,True,practitioner,0.10650885850191116,0.8934911489486694,-0.7869822904467583,instructor,False,assignment,0.9049568772315979,0.09504315257072449,0.8099137246608734,instructor,True,assignment,0.9997363686561584,0.00026350244297645986,0.999472866213182,assignment,True,assignment,0.9793071746826172,0.020692899823188782,0.9586142748594284,assignment,True,assignment,0.9999995231628418,4.523709833392786e-07,0.9999990707918585,assignment,True,assignment,0.9955443739891052,0.004455662798136473,0.9910887111909688,assignment,True,assignment,0.9901815056800842,0.009818398393690586,0.9803631072863936,assignment,True,practitioner,0.4553764760494232,0.5446235537528992,-0.08924707770347595,instructor,False,assignment,0.9690199494361877,0.030979963019490242,0.9380399864166975,teacher,True,assignment,0.8683262467384338,0.13167378306388855,0.7366524636745453,instructor,True,assignment,0.9968655705451965,0.0031343514565378428,0.9937312190886587,assignment,True,assignment,0.9998714923858643,0.00012860537390224636,0.999742887011962,assignment,True,assignment,0.9964246153831482,0.003575411858037114,0.9928492035251111,assignment,True,assignment,0.9630151987075806,0.03698466345667839,0.9260305352509022,instructor,True,assignment,0.9423363208770752,0.057663802057504654,0.8846725188195705,assignment,True,assignment,0.711291491985321,0.28870850801467896,0.4225829839706421,instructor,True,assignment,0.9720436334609985,0.027956288307905197,0.9440873451530933,assignment,True,assignment,0.9731065034866333,0.026893621310591698,0.9462128821760416,assignment,True,assignment,0.9779540300369263,0.022046057507395744,0.9559079725295305,assignment,True
6,This is the student who yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,student,student,practitioner,practitioner,F-G,animate,True,student,0.7308140397071838,0.2691860496997833,0.4616279900074005,sculpture,True,student,0.9907487034797668,0.009251201525330544,0.9814975019544363,students,True,student,0.5151122808456421,0.48488762974739075,0.030224651098251343,student,True,student,0.9919610619544983,0.008038988336920738,0.9839220736175776,student,True,student,0.9315491914749146,0.06845078617334366,0.8630984053015709,students,True,practitioner,0.3990992307662964,0.6009007692337036,-0.20180153846740723,teacher,False,practitioner,0.2723493278026581,0.7276507019996643,-0.4553013741970062,teacher,False,practitioner,0.23764969408512115,0.7623502612113953,-0.5247005671262741,practitioner,False,student,0.7981834411621094,0.2018166184425354,0.596366822719574,student,True,student,0.9970762729644775,0.0029238364659249783,0.9941524364985526,student,True,student,0.6416717171669006,0.35832828283309937,0.28334343433380127,student,True,student,0.9802443981170654,0.019755607470870018,0.9604887906461954,students,True,student,0.9891976714134216,0.010802403092384338,0.9783952683210373,student,True,student,0.9589806199073792,0.041019510477781296,0.9179611094295979,lazy,True,student,0.9987049102783203,0.0012949887895956635,0.9974099214887246,students,True,student,0.9722076058387756,0.027792468667030334,0.9444151371717453,students,True,student,0.9620318412780762,0.03796821087598801,0.9240636304020882,teacher,True,student,0.9984167814254761,0.0015832758508622646,0.9968335055746138,students,True,student,0.9995824694633484,0.0004175883950665593,0.9991648810682818,lazy,True,student,0.9457591772079468,0.05424081161618233,0.8915183655917645,lazy,True,student,0.9659752249717712,0.034024789929389954,0.9319504350423813,lazy,True,student,0.9942470788955688,0.005752858240157366,0.9884942206554115,lazy,True,student,0.9937682151794434,0.006231879815459251,0.9875363353639841,lazy,True,student,0.999395489692688,0.0006045650807209313,0.9987909246119671,lazy,True,student,0.9474955201148987,0.05250445008277893,0.8949910700321198,lazy,True,student,0.9877310395240784,0.012269051745533943,0.9754619877785444,lazy,True,student,0.9629979729652405,0.03700192645192146,0.925996046513319,lazy,True,student,0.9898667335510254,0.010133141651749611,0.9797335918992758,lazy,True,student,0.9927102327346802,0.0072896843776106834,0.9854205483570695,lazy,True
7,This is the assignment that yesterday in the class of the lazy practitioner bored the members of the course. The [MASK] bored the class.,assignment,assignment,practitioner,practitioner,F-G,inanimate,False,practitioner,0.37791407108306885,0.6220859885215759,-0.24417191743850708,sculpture,False,practitioner,0.33885523676872253,0.6611447334289551,-0.32228949666023254,students,False,practitioner,0.007585152052342892,0.9924148917198181,-0.9848297396674752,practitioner,False,practitioner,0.1898225098848343,0.8101774454116821,-0.6203549355268478,students,False,practitioner,0.02074871025979519,0.9792513847351074,-0.9585026744753122,instructor,False,practitioner,0.0006866021431051195,0.9993133544921875,-0.9986267523490824,teacher,False,practitioner,0.00135052262339741,0.998649537563324,-0.9972990149399266,teacher,False,practitioner,2.5672154151834548e-05,0.999974250793457,-0.9999485786393052,practitioner,False,practitioner,6.925035995664075e-05,0.999930739402771,-0.9998614890428144,instructor,False,practitioner,0.2466340810060501,0.7533659934997559,-0.5067319124937057,students,False,practitioner,0.00013975930050946772,0.9998602867126465,-0.999720527412137,instructor,False,practitioner,0.007270112168043852,0.9927299618721008,-0.985459849704057,instructor,False,practitioner,0.03409077972173691,0.9659091234207153,-0.9318183436989784,instructor,False,practitioner,0.010039351880550385,0.9899606704711914,-0.979921318590641,lazy,False,assignment,0.845661461353302,0.154338538646698,0.691322922706604,students,True,practitioner,0.006223889999091625,0.9937760829925537,-0.9875521929934621,student,False,practitioner,0.01645139418542385,0.9835487008094788,-0.9670973066240549,teacher,False,practitioner,0.0018216348253190517,0.9981783628463745,-0.9963567280210555,student,False,practitioner,0.047669921070337296,0.9523300528526306,-0.9046601317822933,teacher,False,practitioner,0.001171492738649249,0.9988285899162292,-0.99765709717758,practitioner,False,practitioner,0.0224042609333992,0.9775956869125366,-0.9551914259791374,teacher,False,practitioner,0.14741255342960358,0.8525874614715576,-0.705174908041954,professor,False,practitioner,0.04595322534441948,0.9540467858314514,-0.9080935604870319,student,False,practitioner,0.0045707649551332,0.995429277420044,-0.9908585124649107,student,False,practitioner,0.00040583559894002974,0.9995941519737244,-0.9991883163747843,practitioner,False,practitioner,0.00394904799759388,0.996051013469696,-0.9921019654721022,student,False,practitioner,0.005589272826910019,0.9944106936454773,-0.9888214208185673,student,False,practitioner,0.004510336089879274,0.9954896569252014,-0.9909793208353221,lazy,False,practitioner,0.010927463881671429,0.9890725016593933,-0.9781450377777219,student,False
8,The baby who was in the young kindergartener's daycare today rolled around on the lawn. The [MASK] rolled on the lawn.,baby,baby,kindergarten,teacher,S-V,animate,True,baby,0.5823864936828613,0.41761353611946106,0.16477295756340027,[unused3],True,baby,0.9769713282585144,0.02302863431395963,0.9539426939445548,water,True,baby,0.9996435642242432,0.0003565069637261331,0.999287057260517,baby,True,baby,0.9999929666519165,6.982605441407941e-06,0.9999859840464751,baby,True,baby,0.9997891783714294,0.00021092843235237524,0.9995782499390771,baby,True,baby,0.9999933242797852,6.737124294886598e-06,0.9999865871554903,baby,True,baby,0.9999982118606567,1.7824646647568443e-06,0.999996429395992,baby,True,baby,0.9999936819076538,6.419448936867411e-06,0.9999872624587169,baby,True,baby,0.9999897480010986,1.0320882211090066e-05,0.9999794271188875,baby,True,baby,0.9999887943267822,1.1290607176306366e-05,0.9999775037196059,baby,True,baby,0.9999585151672363,4.149079268245259e-05,0.9999170243745539,baby,True,baby,0.998624324798584,0.0013757091655861586,0.9972486156329978,baby,True,baby,0.9994441866874695,0.0005558224656851962,0.9988883642217843,baby,True,baby,0.9977259039878845,0.0022740926360711455,0.9954518113518134,baby,True,baby,0.9997671246528625,0.00023292889818549156,0.9995341957546771,baby,True,baby,0.9997736811637878,0.00022631993488175794,0.9995473612289061,baby,True,baby,0.9990193843841553,0.0009806362795643508,0.9980387481045909,baby,True,baby,0.9996857643127441,0.0003142819768982008,0.9993714823358459,baby,True,baby,0.9992895126342773,0.0007104032265488058,0.9985791094077285,baby,True,baby,0.9997166991233826,0.0002833284088410437,0.9994333707145415,baby,True,baby,0.9988497495651245,0.001150189695181325,0.9976995598699432,baby,True,baby,0.9998013377189636,0.00019870536925736815,0.9996026323497063,baby,True,baby,0.9997532963752747,0.00024667791149113327,0.9995066184637835,baby,True,baby,0.9998977184295654,0.00010236144953523763,0.9997953569800302,baby,True,baby,0.9999364614486694,6.362181375152431e-05,0.9998728396349179,baby,True,baby,0.9998853206634521,0.00011472019832581282,0.9997706004651263,baby,True,baby,0.999868631362915,0.00013131143714417703,0.9997373199257709,baby,True,baby,0.9999312162399292,6.885151015012525e-05,0.9998623647297791,baby,True,baby,0.9999363422393799,6.36816748738056e-05,0.9998726605645061,baby,True
9,The cart that was in the young kindergartener's daycare today rolled over on the lawn. The [MASK] rolled on the lawn.,cart,cart,kindergarten,teacher,S-V,inanimate,False,cart,0.6478886604309082,0.3521113246679306,0.2957773357629776,[unused3],True,cart,0.9998109936714172,0.00018902525926023372,0.999621968412157,cart,True,cart,0.9999961853027344,3.878639972754172e-06,0.9999923066627616,cart,True,cart,0.9999980926513672,1.9094484819959234e-06,0.9999961832028852,cart,True,cart,0.9999939203262329,6.1372479081001075e-06,0.9999877830783248,cart,True,cart,0.9999988079071045,1.0764450024680627e-06,0.999997731462102,cart,True,cart,0.9999995231628418,4.803182136470241e-07,0.9999990428446281,cart,True,cart,0.9999998807907104,1.1819561507309118e-07,0.9999997625950954,cart,True,cart,0.9999997615814209,2.0724382210346448e-07,0.9999995543375988,cart,True,cart,0.9999940395355225,5.921206991388317e-06,0.9999881183285311,cart,True,cart,0.9999980926513672,1.886198162992514e-06,0.9999962064532042,cart,True,cart,0.999995231628418,4.805720038802974e-06,0.9999904259083792,cart,True,cart,0.999995231628418,4.699940404861991e-06,0.9999905316880131,cart,True,cart,0.9997881054878235,0.00021193460997892544,0.9995761708778446,cart,True,cart,0.9999910593032837,8.98930056791869e-06,0.9999820700027158,cart,True,cart,0.9999297857284546,7.022882527962793e-05,0.999859556903175,cart,True,cart,0.9999668598175049,3.3136308047687635e-05,0.9999337235094572,cart,True,cart,0.9999862909317017,1.3780698736809427e-05,0.9999725102329649,cart,True,cart,0.9999697208404541,3.035069175894023e-05,0.9999393701486952,cart,True,cart,0.9999674558639526,3.263883809268009e-05,0.99993481702586,cart,True,cart,0.9999840259552002,1.6060570487752557e-05,0.9999679653847124,cart,True,cart,0.9999889135360718,1.1077940598624991e-05,0.9999778355954732,cart,True,cart,0.9999840259552002,1.6001546555344248e-05,0.9999680244086449,cart,True,cart,0.9999858140945435,1.412695883118431e-05,0.9999716871357123,cart,True,cart,0.9999946355819702,5.337597372090386e-06,0.9999892979845981,cart,True,cart,0.9999935626983643,6.436097010009689e-06,0.9999871266013542,cart,True,cart,0.9999896287918091,1.042453914124053e-05,0.9999792042526678,cart,True,cart,0.9999934434890747,6.528115818582592e-06,0.9999869153732561,cart,True,cart,0.9999942779541016,5.725645451093442e-06,0.9999885523086505,cart,True
